1-ая Лесная улица;1-ая Лесная ул.;PervayaLesnaya
1-й Заречный проезд;1-й Заречный пр.;PervyjZarechnyjPrd
1-й Зачатьевский переулок;1-й Зачатьевский пер.;PervyjZachatevskijPer
1-й Зборовский переулок;1-й Зборовский пер.;PervyjZborovskijPer
1-й Земельный переулок;1-й Земельный пер.;PervyjZemelnyjPer
1-й Зимёнковский переулок;1-й Зимёнковский пер.;PervyjZimyonkovskijPer
1-й Институтский проезд;1-й Институтский пр.;PervyjInstitutskijPrd
1-й Ирининский переулок;1-й Ирининский пер.;PervyjIrininskijPer
1-й Иртышский проезд;1-й Иртышский пр.;PervyjIrtyshskijPrd
1-й Кабельный проезд;1-й Кабельный пр.;PervyjKabelnyjPrd
1-й Кадашёвский переулок;1-й Кадашёвский пер.;PervyjKadashyovskijPer
1-й Казанский просек;1-й Казанский просек;PervyjKazanskijPrk
1-й Казачий переулок;1-й Казачий пер.;PervyjKazachijPer
1-й Капотнинский проезд;1-й Капотнинский пр.;PervyjKapotninskijPrd
1-й Карачаровский проезд;1-й Карачаровский пр.;PervyjKaracharovskijPrd
1-й Киевский переулок;1-й Киевский пер.;PervyjKievskijPer
1-й километр Московской Кольцевой Автодороги;1-й км МКАД;PervyjKmMoskovskojKolczevojAvtodorogi
1-й Кирпичный переулок;1-й Кирпичный пер.;PervyjKirpichnyjPer
1-й Кленовый переулок;1-й Кленовый пер.;PervyjKlenovyjPer
1-й Кожевнический переулок;1-й Кожевнический пер.;PervyjKozhevnicheskijPer
1-й Кожуховский проезд;1-й Кожуховский пр.;PervyjKozhuhovskijPrd
1-й Колобовский переулок;1-й Колобовский пер.;PervyjKolobovskijPer
1-й Коптельский переулок;1-й Коптельский пер.;PervyjKoptelskijPer
1-й Котельнический переулок;1-й Котельнический пер.;PervyjKotelnicheskijPer
1-й Котляковский переулок;1-й Котляковский пер.;PervyjKotlyakovskijPer
1-й Красковский проезд;1-й Красковский пр.;PervyjKraskovskijPrd
1-й Красногвардейский проезд;1-й Красногвардейский пр.;PervyjKrasnogvardejskijPrd
1-й Красногорский проезд;1-й Красногорский пр.;PervyjKrasnogorskijPrd
1-й Краснокурсантский проезд;1-й Краснокурсантский пр.;PervyjKrasnokursantskijPrd
1-й Красносельский переулок;1-й Красносельский пер.;PervyjKrasnoselskijPer
1-й Крутицкий переулок;1-й Крутицкий пер.;PervyjKruticzkijPer
1-й Курьяновский проезд;1-й Курьяновский пр.;PervyjKuryanovskijPrd
1-й Лесной переулок;1-й Лесной пер.;PervyjLesnojPer
1-й Лесной переулок;1-й Лесной пер.;PervyjLesnojPer
1-й Лесной переулок;1-й Лесной пер.;PervyjLesnojPer
1-й Лихачёвский переулок;1-й Лихачёвский пер.;PervyjLihachyovskijPer
1-й Лучевой просек;1-й Лучевой просек;PervyjLuchevojPrk
1-й Лыковский проезд;1-й Лыковский пр.;PervyjLykovskijPrd
1-й Люберецкий проезд;1-й Люберецкий пр.;PervyjLyubereczkijPrd
1-й Люсиновский переулок;1-й Люсиновский пер.;PervyjLyusinovskijPer
1-й Магистральный проезд;1-й Магистральный пр.;PervyjMagistralnyjPrd
1-й Магистральный тупик;1-й Магистральный туп.;PervyjMagistralnyjTup
1-й Медведковский мост;1-й Медведковский мост;PervyjMedvedkovskijMost
1-й Миргородский переулок;1-й Миргородский пер.;PervyjMirgorodskijPer
1-й Митинский переулок;1-й Митинский пер.;PervyjMitinskijPer
1-й Можайский тупик;1-й Можайский туп.;PervyjMozhajskijTup
1-й Монетчиковский переулок;1-й Монетчиковский пер.;PervyjMonetchikovskijPer
1-й Моравский переулок;1-й Моравский пер.;PervyjMoravskijPer
1-й Набережный тупик;1-й Набережный туп.;PervyjNaberezhnyjTup
1-й Нагатинский проезд;1-й Нагатинский пр.;PervyjNagatinskijPrd
1-й Неопалимовский переулок;1-й Неопалимовский пер.;PervyjNeopalimovskijPer
1-й Нижнелихоборский проезд;1-й Нижнелихоборский пр.;PervyjNizhnelihoborskijPrd
1-й Нижний Михайловский проезд;1-й Нижн. Михайловский пр.;PervyjNizhnijMihajlovskijPrd
1-й Николощеповский переулок;1-й Николощеповский пер.;PervyjNikoloshhepovskijPer
1-й Новобурцевский переулок;1-й Новобурцевский пер.;PervyjNovoburczevskijPer
1-й Новокузнецкий переулок;1-й Новокузнецкий пер.;PervyjNovokuzneczkijPer
1-й Новомихалковский проезд;1-й Новомихалковский пр.;PervyjNovomihalkovskijPrd
1-й Новоподмосковный переулок;1-й Новоподмосковный пер.;PervyjNovopodmoskovnyjPer
1-й Новотихвинский переулок;1-й Новотихвинский пер.;PervyjNovotihvinskijPer
1-й Новый переулок;1-й Новый пер.;PervyjNovyjPer
1-й Обыденский переулок;1-й Обыденский пер.;PervyjObydenskijPer
1-й Ольховский тупик;1-й Ольховский туп.;PervyjOlhovskijTup
1-й Очаковский переулок;1-й Очаковский пер.;PervyjOchakovskijPer
1-й Павелецкий проезд;1-й Павелецкий пр.;PervyjPaveleczkijPrd
1-й Павловский переулок;1-й Павловский пер.;PervyjPavlovskijPer
1-й Павловский проезд;1-й Павловский пр-д;PervyjPavlovskijPrd
1-й Парковый проезд;1-й Парковый пр.;PervyjParkovyjPrd
1-й Пенягинский проезд;1-й Пенягинский пр.;PervyjPenyaginskijPrd
1-й переулок;1-й пер.;PervyjPer
1-й переулок Измайловского Зверинца;1-й пер. Измайловского Зверинца;PervyjPerIzmajlovskogoZverincza
1-й переулок Петра Алексеева;1-й пер. Петра Алексеева;PervyjPerPetraAlekseeva
1-й переулок Тружеников;1-й пер. Тружеников;PervyjPerTruzhenikov
1-й Пехотный переулок;1-й Пехотный пер.;PervyjPehotnyjPer
1-й Подольский переулок;1-й Подольский пер.;PervyjPodolskijPer
1-й Полевой переулок;1-й Полевой пер.;PervyjPolevojPer
1-й Поперечный проезд;1-й Поперечный пр.;PervyjPoperechnyjPrd
1-й проезд Леонова;1-й пр. Леонова;PervyjPrdLeonova
1-й проезд Марьиной Рощи;1-й пр. Марьиной Рощи;PervyjPrdMarinojRoshhi
1-й проезд Мира;1-й пр. Мира;PervyjPrdMira
1-й проезд Перова Поля;1-й пр. Перова Поля;PervyjPrdPerovaPolya
1-й проезд Подбельского;1-й пр. Подбельского;PervyjPrdPodbelskogo
1-й Рабочий переулок;1-й Рабочий пер.;PervyjRabochijPer
1-й Радиальный проезд;1-й Радиальный пр.;PervyjRadialnyjPrd
1-й Раушский переулок;1-й Раушский пер.;PervyjRaushskijPer
1-й Рижский переулок;1-й Рижский пер.;PervyjRizhskijPer
1-й Рогозининский переулок;1-й Рогозининский пер.;PervyjRogozininskijPer
1-й Ростокинский мост;1-й Ростокинский мост;PervyjRostokinskijMost
1-й Рощинский проезд;1-й Рощинский пр.;PervyjRoshhinskijPrd
1-й Рушниковский переулок;1-й Рушниковский пер.;PervyjRushnikovskijPer
1-й Садовый проезд;1-й Садовый пр.;PervyjSadovyjPrd
1-й Самотёчный переулок;1-й Самотёчный пер.;PervyjSamotyochnyjPer
1-й Самоцветный переулок;1-й Самоцветный пер.;PervyjSamoczvetnyjPer
1-й Саратовский проезд;1-й Саратовский пр.;PervyjSaratovskijPrd
1-й Северный переулок;1-й Северный пер.;PervyjSevernyjPer
1-й Сельскохозяйственный проезд;1-й Сельскохозяйственный пр.;PervyjSelskohozyajstvennyjPrd
1-й Сентябрьский переулок;1-й Сентябрьский пер.;PervyjSentyabrskijPer
1-й Сетуньский проезд;1-й Сетуньский пр.;PervyjSetunskijPrd
1-й Силикатный проезд;1-й Силикатный пр.;PervyjSilikatnyjPrd
1-й Смоленский переулок;1-й Смоленский пер.;PervyjSmolenskijPer
1-й Солнечный переулок;1-й Солнечный пер.;PervyjSolnechnyjPer
1-й Спасоналивковский переулок;1-й Спасоналивковский пер.;PervyjSpasonalivkovskijPer
1-й Стрелецкий проезд;1-й Стрелецкий пр.;PervyjStreleczkijPrd
1-й Суворовский переулок;1-й Суворовский пер.;PervyjSuvorovskijPer
1-й Сыромятнический переулок;1-й Сыромятнический пер.;PervyjSyromyatnicheskijPer
1-й Тверской-Ямской переулок;1-й Тверской-Ямской пер.;PervyjTverskojYamskojPer
1-й Терновый переулок;1-й Терновый пер.;PervyjTernovyjPer
1-й Тихвинский тупик;1-й Тихвинский туп.;PervyjTihvinskijTup
1-й Троицкий переулок;1-й Троицкий пер.;PervyjTroiczkijPer
1-й Тульский переулок;1-й Тульский пер.;PervyjTulskijPer
1-й Тушинский проезд;1-й Тушинский пр.;PervyjTushinskijPrd
1-й Тюляевский переулок;1-й Тюляевский пер.;PervyjTyulyaevskijPer
1-й Угрешский проезд;1-й Угрешский пр.;PervyjUgreshskijPrd
1-й Хвостов переулок;1-й Хвостов пер.;PervyjhvostovPer
1-й Ходынский проезд;1-й Ходынский пр.;PervyjhodynskijPrd
1-й Хорошёвский проезд;1-й Хорошёвский пр.;PervyjhoroshyovskijPrd
1-й Хуторской переулок;1-й Хуторской пер.;PervyjhutorskojPer
1-й Цветочный переулок;1-й Цветочный пер.;PervyjCzvetochnyjPer
1-й Шибаевский переулок;1-й Шибаевский пер.;PervyjShibaevskijPer
1-й Шлюзовой мост;1-й Шлюзовой мост;PervyjShlyuzovojMost
1-й Щемиловский переулок;1-й Щемиловский пер.;PervyjShhemilovskijPer
1-й Щипковский переулок;1-й Щипковский пер.;PervyjShhipkovskijPer
1-й Электрозаводский переулок;1-й Электрозаводский пер.;PervyjElektrozavodskijPer
1-й Южнопортовый проезд;1-й Южнопортовый пр.;PervyjYuzhnoportovyjPrd
1-я Апрельская улица;1-я Апрельская ул.;PervayaAprelskaya
1-я Аэропортовская улица;1-я Аэропортовская ул.;PervayaAeroportovskaya
1-я Барышевская улица;1-я Барышевская ул.;PervayaBaryshevskaya
1-я Бахметьевская улица;1-я Бахметьевская ул.;PervayaBahmetevskaya
1-я Белогорская улица;1-я Белогорская ул.;PervayaBelogorskaya
1-я Боевская улица;1-я Боевская ул.;PervayaBoevskaya
1-я Бородинская улица;1-я Бородинская ул.;PervayaBorodinskaya
1-я Брестская улица;1-я Брестская ул.;PervayaBrestskaya
1-я Валуевская улица;1-я Валуевская ул.;PervayaValuevskaya
1-я Ватутинская улица;1-я Ватутинская ул.;PervayaVatutinskaya
1-я Вишнёвая улица;1-я Вишнёвая ул.;PervayaVishnyovaya
1-я Владимирская улица;1-я Владимирская ул.;PervayaVladimirskaya
1-я Внуковская улица;1-я Внуковская ул.;PervayaVnukovskaya
1-я Вольская улица;1-я Вольская ул.;PervayaVolskaya
1-я Горловская улица;1-я Горловская ул.;PervayaGorlovskaya
1-я Гражданская улица;1-я Гражданская ул.;PervayaGrazhdanskaya
1-я Дементьевская улица;1-я Дементьевская ул.;PervayaDementevskaya
1-я Дубровская улица;1-я Дубровская ул.;PervayaDubrovskaya
1-я Железногорская улица;1-я Железногорская ул.;PervayaZheleznogorskaya
1-я Железнодорожная улица;1-я Железнодорожная ул.;PervayaZheleznodorozhnaya
1-я Заводская улица;1-я Заводская ул.;PervayaZavodskaya
1-я Изумрудная улица;1-я Изумрудная ул.;PervayaIzumrudnaya
1-я Институтская улица;1-я Институтская ул.;PervayaInstitutskaya
1-я Кабельная улица;1-я Кабельная ул.;PervayaKabelnaya
1-я Карачаровская улица;1-я Карачаровская ул.;PervayaKaracharovskaya
1-я Карпатская улица;1-я Карпатская ул.;PervayaKarpatskaya
1-я Квесисская улица;1-я Квесисская ул.;PervayaKvesisskaya
1-я Клеверная улица;1-я Клеверная ул.;PervayaKlevernaya
1-я Крылатская улица;1-я Крылатская ул.;PervayaKrylatskaya
1-я Курьяновская улица;1-я Курьяновская ул.;PervayaKuryanovskaya
1-я Лазурная улица;1-я Лазурная ул.;PervayaLazurnaya
1-я линия Хорошёвского Серебряного Бора;1-я линия Хорошёвского Серебряного Бора;PervayaliniyahoroshyovskogoSerebryanogoBora
1-я Лыковская улица;1-я Лыковская ул.;PervayaLykovskaya
1-я Магистральная улица;1-я Магистральная ул.;PervayaMagistralnaya
1-я Майская улица;1-я Майская ул.;PervayayaMajskaya
1-я Мелитопольская улица;1-я Мелитопольская ул.;PervayaMelitopolskaya
1-я Миусская улица;1-я Миусская ул.;PervayaMiusskaya
1-я Мичуринская улица;1-я Мичуринская ул.;PervayaMichurinskaya
1-я Муравская улица;1-я Муравская ул.;PervayaMuravskaya
1-я Мытищинская улица;1-я Мытищинская ул.;PervayaMytishhinskaya
1-я Мякининская улица;1-я Мякининская ул.;PervayaMyakininskaya
1-я Мясниковская улица;1-я Мясниковская ул.;PervayaMyasnikovskaya
1-я Напрудная улица;1-я Напрудная ул.;PervayaNaprudnaya
1-я Научная улица;1-я Научная ул.;PervayayaNauchnaya
1-я Новая улица;1-я Новая ул.;PervayaNovaya
1-я Нововатутинская улица;1-я Нововатутинская ул.;PervayaNovovatutinskaya
1-я Новоизваринская улица;1-я Новоизваринская ул.;PervayaNovoizvarinskaya
1-я Новокузьминская улица;1-я Новокузьминская ул.;PervayaNovokuzminskaya
1-я Октябрьская улица;1-я Октябрьская ул.;PervayaOktyabrskaya
1-я Останкинская улица;1-я Останкинская ул.;PervayaOstankinskaya
1-я Павлоградская улица;1-я Павлоградская ул.;PervayaPavlogradskaya
1-я Парковая улица;1-я Парковая ул.;PervayaParkovaya
1-я Подрезковская улица;1-я Подрезковская ул.;PervayaPodrezkovskaya
1-я Прогонная улица;1-я Прогонная ул.;PervayaProgonnaya
1-я Прядильная улица;1-я Прядильная ул.;PervayaPryadilnaya
1-я Пугачёвская улица;1-я Пугачёвская ул.;PervayaPugachyovskaya
1-я Радиальная улица;1-я Радиальная ул.;PervayaRadialnaya
1-я Радиаторская улица;1-я Радиаторская ул.;PervayaRadiatorskaya
1-я Рейсовая улица;1-я Рейсовая ул.;PervayaRejsovaya
1-я Рыбацкая улица;1-я Рыбацкая ул.;PervayaRybaczkaya
1-я Рыбинская улица;1-я Рыбинская ул.;PervayaRybinskaya
1-я Северная линия;1-я Северная линия;PervayaSevernayaliniya
1-я Северная улица;1-я Северная ул.;PervayaSevernaya
1-я Северодонецкая улица;1-я Северодонецкая ул.;PervayaSeverodoneczkaya
1-я Сестрорецкая улица;1-я Сестрорецкая ул.;PervayaSestroreczkaya
1-я Скворцовая улица;1-я Скворцовая ул.;PervayaSkvorczovaya
1-я Сокольническая улица;1-я Сокольническая ул.;PervayaSokolnicheskaya
1-я Сосновая улица;1-я Сосновая ул.;PervayaSosnovaya
1-я Стекольная улица;1-я Стекольная ул.;PervayaStekolnaya
1-я Тверская-Ямская улица;1-я Тверская-Ямская ул.;PervayaTverskayaYamskaya
1-я улица 8 Марта;1-я ул. 8 Марта;PervayaVosmogoMarta
1-я улица Бебеля;1-я ул. Бебеля;PervayaBebelya
1-я улица Бухвостова;1-я ул. Бухвостова;PervayaBuhvostova
1-я улица Дьяково-Городище;1-я ул. Дьяково-Городище;PervayaDyakovoGorodishhe
1-я улица Измайловского Зверинца;1-я ул. Измайловского Зверинца;PervayaIzmajlovskogoZverincza
1-я улица Лазенки;1-я ул. Лазенки;PervayaLazenki
1-я улица Леонова;1-я ул. Леонова;PervayaLeonova
1-я улица Лесные Поляны;1-я ул. Лесные Поляны;PervayaLesnyePolyany
1-я улица Лукино;1-я ул. Лукино;PervayaLukino
1-я улица Машиностроения;1-я ул. Машиностроения;PervayaMashinostroeniya
1-я улица Новосёлки;1-я ул. Новосёлки;PervayaNovosyolki
1-я улица Новые Сады;1-я ул. Новые Сады;PervayaNovyeSady
1-я улица Рославка;1-я ул. Рославка;PervayaRoslavka
1-я улица Синичкина;1-я ул. Синичкина;PervayaSinichkina
1-я улица Текстильщиков;1-я ул. Текстильщиков;PervayaTekstilshhikov
1-я улица Шелепихи;1-я ул. Шелепихи;PervayaShelepihi
1-я улица Энтузиастов;1-я ул. Энтузиастов;PervayaEntuziastov
1-я улица Ямского Поля;1-я ул. Ямского Поля;PervayaYamskogoPolya
1-я Фиалковая улица;1-я Фиалковая ул.;PervayaFialkovaya
1-я Фоминская улица;1-я Фоминская ул.;PervayaFominskaya
1-я Фрезерная улица;1-я Фрезерная ул.;PervayaFrezernaya
1-я Фрунзенская улица;1-я Фрунзенская ул.;PervayaFrunzenskaya
1-я Хуторская улица;1-я Хуторская ул.;Pervayahutorskaya
1-я Центральная улица;1-я Центральная ул.;PervayaCzentralnaya
1-я Центральная улица;1-я Центральная ул.;PervayaCzentralnaya
1-я Чоботовская аллея;1-я Чоботовская аллея;PervayaChobotovskayaAl
1-я Ямская улица;1-я Ямская ул.;PervayaYamskaya
1-я Январская улица;1-я Январская ул.;PervayaYanvarskaya
10-й Железнодорожный переулок;10-й Железнодорожный пер.;DesyatyjZheleznodorozhnyjPer
10-й километр Московской Кольцевой Автодороги;10-й км МКАД;DesyatyjKmMoskovskojKolczevojAvtodorogi
10-й проезд Марьиной Рощи;10-й пр. Марьиной Рощи;DesyatyjPrdMarinojRoshhi
10-я Парковая улица;10-я Парковая ул.;DesyatayaParkovaya
10-я Радиальная улица;10-я Радиальная ул.;DesyatayaRadialnaya
10-я Скворцовая улица;10-я Скворцовая ул.;DesyatayaSkvorczovaya
10-я улица Новые Сады;10-я ул. Новые Сады;DesyatayaNovyeSady
10-я улица Соколиной Горы;10-я ул. Соколиной Горы;DesyatayaSokolinojGory
10-я Чоботовская аллея;10-я Чоботовская аллея;DesyatayaChobotovskayaAl
100-й километр Московской Кольцевой Автодороги;100-й км МКАД;SotyjKmMoskovskojKolczevojAvtodorogi
101-й километр Московской Кольцевой Автодороги;101-й км МКАД;StoPervyjKmMoskovskojKolczevojAvtodorogi
102-й километр Московской Кольцевой Автодороги;102-й км МКАД;StoVtorojKmMoskovskojKolczevojAvtodorogi
103-й километр Московской Кольцевой Автодороги;103-й км МКАД;StoTretijKmMoskovskojKolczevojAvtodorogi
104-й километр Московской Кольцевой Автодороги;104-й км МКАД;StoChetvyortyjKmMoskovskojKolczevojAvtodorogi
105-й километр Московской Кольцевой Автодороги;105-й км МКАД;StoPyatyjKmMoskovskojKolczevojAvtodorogi
106-й километр Московской Кольцевой Автодороги;106-й км МКАД;StoShestojKmMoskovskojKolczevojAvtodorogi
107-й километр Московской Кольцевой Автодороги;107-й км МКАД;StoSedmojKmMoskovskojKolczevojAvtodorogi
108-й километр Московской Кольцевой Автодороги;108-й км МКАД;StoVosmojKmMoskovskojKolczevojAvtodorogi
109-й километр Московской Кольцевой Автодороги;109-й км МКАД;StoDevyatyjKmMoskovskojKolczevojAvtodorogi
11-й километр Московской Кольцевой Автодороги;11-й км МКАД;OdinnadczatyjKmMoskovskojKolczevojAvtodorogi
11-й проезд Марьиной Рощи;11-й пр. Марьиной Рощи;OdinnadczatyjPrdMarinojRoshhi
11-я Парковая улица;11-я Парковая ул.;OdinnadczatayaParkovaya
11-я Радиальная улица;11-я Радиальная ул.;OdinnadczatayaRadialnaya
11-я улица Новые Сады;11-я ул. Новые Сады;OdinnadczatayaNovyeSady
11-я улица Текстильщиков;11-я ул. Текстильщиков;OdinnadczatayaTekstilshhikov
11-я Чоботовская аллея;11-я Чоботовская аллея;OdinnadczatayaChobotovskayaAl
12-й километр Московской Кольцевой Автодороги;12-й км МКАД;DvenadczatyjKmMoskovskojKolczevojAvtodorogi
12-й проезд Марьиной Рощи;12-й пр. Марьиной Рощи;DvenadczatyjPrdMarinojRoshhi
12-я Новокузьминская улица;12-я Новокузьминская ул.;DvenadczatayaNovokuzminskaya
12-я Парковая улица;12-я Парковая ул.;DvenadczatayaParkovaya
13-й километр Московской Кольцевой Автодороги;13-й км МКАД;TrinadczatyjKmMoskovskojKolczevojAvtodorogi
13-й проезд Марьиной Рощи;13-й пр. Марьиной Рощи;TrinadczatyjPrdMarinojRoshhi
13-я Парковая улица;13-я Парковая ул.;TrinadczatayaParkovaya
14-й километр Московской Кольцевой Автодороги;14-й км МКАД;ChetyrnadczatyjKmMoskovskojKolczevojAvtodorogi
14-й проезд Марьиной Рощи;14-й пр. Марьиной Рощи;ChetyrnadczatyjPrdMarinojRoshhi
14-я Парковая улица;14-я Парковая ул.;ChetyrnadczatayaParkovaya
15-й километр Московской Кольцевой Автодороги;15-й км МКАД;PyatnadczatyjKmMoskovskojKolczevojAvtodorogi
15-я Парковая улица;15-я Парковая ул.;PyatnadczatayaParkovaya
16-й километр Московской Кольцевой Автодороги;16-й км МКАД;ShestnadczatyjKmMoskovskojKolczevojAvtodorogi
16-я Парковая улица;16-я Парковая ул.;ShestnadczatayaParkovaya
17-й километр Московской Кольцевой Автодороги;17-й км МКАД;SemnadczatyjKmMoskovskojKolczevojAvtodorogi
17-й проезд Марьиной Рощи;17-й пр. Марьиной Рощи;SemnadczatyjPrdMarinojRoshhi
18-й километр Московской Кольцевой Автодороги;18-й км МКАД;VosemnadczatyjKmMoskovskojKolczevojAvtodorogi
19-й километр Московской Кольцевой Автодороги;19-й км МКАД;DevyatnadczatyjKmMoskovskojKolczevojAvtodorogi
2-й Автозаводский проезд;2-й Автозаводский пр.;VtorojAvtozavodskijPrd
2-й Амбулаторный проезд;2-й Амбулаторный пр.;VtorojAmbulatornyjPrd
2-й Бабьегородский переулок;2-й Бабьегородский пер.;VtorojBabegorodskijPer
2-й Балтийский переулок;2-й Балтийский пер.;VtorojBaltijskijPer
2-й Белокаменный проезд;2-й Белокаменный пр.;VtorojBelokamennyjPrd
2-й Богатырский переулок;2-й Богатырский пер.;VtorojBogatyrskijPer
2-й Богородский переулок;2-й Богородский пер.;VtorojBogorodskijPer
2-й Богучарский переулок;2-й Богучарский пер.;VtorojBogucharskijPer
2-й Ботанический проезд;2-й Ботанический пр.;VtorojBotanicheskijPrd
2-й Боткинский проезд;2-й Боткинский пр.;VtorojBotkinskijPrd
2-й Брянский переулок;2-й Брянский пер.;VtorojBryanskijPer
2-й Варшавский проезд;2-й Варшавский пр.;VtorojVarshavskijPrd
2-й Верхний Михайловский проезд;2-й Верх. Михайловский пр.;VtorojVerhnijMihajlovskijPrd
2-й Войковский проезд;2-й Войковский пр.;VtorojVojkovskijPrd
2-й Волконский переулок;2-й Волконский пер.;VtorojVolkonskijPer
2-й Вольный переулок;2-й Вольный пер.;VtorojVolnyjPer
2-й Вражский переулок;2-й Вражский пер.;VtorojVrazhskijPer
2-й Вышеславцев переулок;2-й Вышеславцев пер.;VtorojVysheslavczevPer
2-й Вязовский проезд;2-й Вязовский пр.;VtorojVyazovskijPrd
2-й Гончарный переулок;2-й Гончарный пер.;VtorojGoncharnyjPer
2-й Гончаровский переулок;2-й Гончаровский пер.;VtorojGoncharovskijPer
2-й Грайвороновский проезд;2-й Грайвороновский пр.;VtorojGrajvoronovskijPrd
2-й Дачно-Мещерский проезд;2-й Дачно-Мещерский пр.;VtorojDachnoMeshherskijPrd
2-й Двинский переулок;2-й Двинский пер.;VtorojDvinskijPer
2-й Дербеневский переулок;2-й Дербеневский пер.;VtorojDerbenevskijPer
2-й Динамовский переулок;2-й Динамовский пер.;VtorojDinamovskijPer
2-й Добрынинский переулок;2-й Добрынинский пер.;VtorojDobryninskijPer
2-й Донской проезд;2-й Донской пр.;VtorojDonskojPrd
2-й Дорогобужский переулок;2-й Дорогобужский пер.;VtorojDorogobuzhskijPer
2-й Дорожный проезд;2-й Дорожный пр.;VtorojDorozhnyjPrd
2-й Дунайский переулок;2-й Дунайский пер.;VtorojDunajskijPer
2-й Железнодорожный переулок;2-й Железнодорожный пер.;VtorojZheleznodorozhnyjPer
2-й Западный проезд;2-й Западный пр.;VtorojZapadnyjPrd
2-й Заречный переулок;2-й Заречный пер.;VtorojZarechnyjPer
2-й Заречный переулок;2-й Заречный пер.;VtorojZarechnyjPer
2-й Заречный проезд;2-й Заречный пр.;VtorojZarechnyjPrd
2-й Зачатьевский переулок;2-й Зачатьевский пер.;VtorojZachatevskijPer
2-й Звенигородский переулок;2-й Звенигородский пер.;VtorojZvenigorodskijPer
2-й Зимёнковский переулок;2-й Зимёнковский пер.;VtorojZimyonkovskijPer
2-й Институтский проезд;2-й Институтский пр.;VtorojInstitutskijPrd
2-й Ирининский переулок;2-й Ирининский пер.;VtorojIrininskijPer
2-й Иртышский проезд;2-й Иртышский пр.;VtorojIrtyshskijPrd
2-й Кабельный проезд;2-й Кабельный пр.;VtorojKabelnyjPrd
2-й Кадашёвский переулок;2-й Кадашёвский пер.;VtorojKadashyovskijPer
2-й Казанский просек;2-й Казанский просек;VtorojKazanskijPrk
2-й Казачий переулок;2-й Казачий пер.;VtorojKazachijPer
2-й Капотнинский проезд;2-й Капотнинский пр.;VtorojKapotninskijPrd
2-й Карачаровский проезд;2-й Карачаровский пр.;VtorojKaracharovskijPrd
2-й Киевский переулок;2-й Киевский пер.;VtorojKievskijPer
2-й километр Московской Кольцевой Автодороги;2-й км МКАД;VtorojKmMoskovskojKolczevojAvtodorogi
2-й Кленовый переулок;2-й Кленовый пер.;VtorojKlenovyjPer
2-й Кожевнический переулок;2-й Кожевнический пер.;VtorojKozhevnicheskijPer
